epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49372,2.00756,1.85916,1.69408,0.70517,0.43075,0.52807,0.27256,1.77906,1.24668,1.31457,0.0002,0.0002,0.0002
2,7.08273,1.79827,1.67872,1.56266,0.72477,0.42439,0.52559,0.25513,1.86463,1.27858,1.36639,0.000415842,0.000415842,0.000415842
3,9.52598,1.81383,1.58992,1.59801,0.65743,0.43298,0.50209,0.22457,1.99956,1.33699,1.45314,0.000627328,0.000627328,0.000627328
4,12.1026,1.72598,1.4731,1.52987,0.6405,0.41691,0.47864,0.21053,2.05664,1.37121,1.50115,0.000834458,0.000834458,0.000834458
5,14.4409,1.70901,1.40509,1.50746,0.6456,0.40847,0.46464,0.2179,2.03048,1.36359,1.49571,0.00103723,0.00103723,0.00103723
