epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,85.1348,1.65175,1.33145,1.53456,0.67961,0.41356,0.47787,0.2345,1.91056,1.38003,1.40856,0.0013466,0.0013466,0.0013466
35,87.5517,1.66498,1.34387,1.51582,0.6842,0.40974,0.47797,0.23524,1.92008,1.41083,1.40647,0.0013268,0.0013268,0.0013268
36,90.0332,1.67812,1.3088,1.46697,0.67923,0.4107,0.47874,0.23734,1.90544,1.39137,1.40418,0.001307,0.001307,0.001307
37,92.3877,1.70166,1.38325,1.55394,0.67664,0.41261,0.47603,0.23456,1.90488,1.36865,1.40998,0.0012872,0.0012872,0.0012872
38,94.8216,1.68558,1.33575,1.51046,0.67529,0.40911,0.47143,0.22397,1.94479,1.36484,1.43225,0.0012674,0.0012674,0.0012674
39,97.1953,1.69978,1.38253,1.54165,0.67204,0.40514,0.46771,0.21196,2.01596,1.39761,1.45999,0.0012476,0.0012476,0.0012476
40,99.6571,1.70115,1.3139,1.51755,0.66179,0.4072,0.46855,0.21287,2.00626,1.39513,1.46073,0.0012278,0.0012278,0.0012278
41,102.077,1.65962,1.34784,1.49595,0.66929,0.41229,0.4705,0.22206,1.94747,1.36891,1.43625,0.001208,0.001208,0.001208
42,104.486,1.71246,1.40763,1.55862,0.67568,0.41484,0.47699,0.23738,1.87269,1.34516,1.39863,0.0011882,0.0011882,0.0011882
43,107.114,1.6882,1.37139,1.53075,0.67203,0.41356,0.48101,0.24267,1.85856,1.36387,1.38343,0.0011684,0.0011684,0.0011684
44,109.469,1.66599,1.32857,1.49967,0.67071,0.40783,0.47812,0.2377,1.89132,1.39855,1.39152,0.0011486,0.0011486,0.0011486
45,111.857,1.64986,1.38694,1.51138,0.683,0.40115,0.47568,0.23291,1.92178,1.40842,1.40519,0.0011288,0.0011288,0.0011288
46,114.272,1.61498,1.32387,1.47033,0.6873,0.40465,0.47458,0.22732,1.94119,1.39892,1.42149,0.001109,0.001109,0.001109
47,116.868,1.68817,1.33147,1.5211,0.6914,0.40728,0.47582,0.22572,1.92529,1.37766,1.42287,0.0010892,0.0010892,0.0010892
48,119.236,1.72283,1.35639,1.5662,0.68166,0.41039,0.47613,0.22715,1.92476,1.38159,1.42239,0.0010694,0.0010694,0.0010694
49,121.657,1.70946,1.37558,1.54939,0.67756,0.40624,0.47606,0.23042,1.91018,1.37984,1.41563,0.0010496,0.0010496,0.0010496
50,124.144,1.67131,1.31395,1.497,0.68217,0.40522,0.47585,0.23096,1.91675,1.38507,1.41381,0.0010298,0.0010298,0.0010298
51,126.492,1.66597,1.33741,1.51081,0.68439,0.40593,0.47597,0.23321,1.90523,1.37394,1.41082,0.00101,0.00101,0.00101
52,129.006,1.67015,1.30498,1.48581,0.68537,0.40911,0.47658,0.23217,1.9123,1.36398,1.41781,0.0009902,0.0009902,0.0009902
53,131.428,1.67476,1.35718,1.53116,0.68206,0.40912,0.47691,0.229,1.93168,1.36594,1.42752,0.0009704,0.0009704,0.0009704
54,133.878,1.72436,1.41822,1.56589,0.68591,0.4072,0.47953,0.22584,1.9421,1.37357,1.42991,0.0009506,0.0009506,0.0009506
55,136.342,1.64228,1.32191,1.49354,0.68585,0.40847,0.47968,0.22457,1.94044,1.38203,1.42782,0.0009308,0.0009308,0.0009308
56,138.944,1.66663,1.40427,1.51755,0.67796,0.40592,0.47537,0.22566,1.92486,1.37855,1.42375,0.000911,0.000911,0.000911
