epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22671,2.00756,1.85916,1.69408,0.70517,0.43075,0.52807,0.27256,1.77906,1.24668,1.31457,0.0002,0.0002,0.0002
2,6.74809,1.79827,1.67872,1.56266,0.72477,0.42439,0.52559,0.25513,1.86463,1.27858,1.36639,0.000415842,0.000415842,0.000415842
3,9.1713,1.81383,1.58992,1.59801,0.65743,0.43298,0.50209,0.22457,1.99956,1.33699,1.45314,0.000627328,0.000627328,0.000627328
4,11.7444,1.72598,1.4731,1.52987,0.6405,0.41691,0.47864,0.21053,2.05664,1.37121,1.50115,0.000834458,0.000834458,0.000834458
5,14.1838,1.70901,1.40509,1.50746,0.6456,0.40847,0.46464,0.2179,2.03048,1.36359,1.49571,0.00103723,0.00103723,0.00103723
6,16.6228,1.66043,1.35075,1.51264,0.66267,0.40151,0.4709,0.22101,2.00213,1.3466,1.47089,0.00123565,0.00123565,0.00123565
7,19.025,1.71257,1.41112,1.53341,0.67821,0.40911,0.47896,0.21904,2.019,1.36726,1.46356,0.00142971,0.00142971,0.00142971
8,21.4486,1.79303,1.45962,1.59837,0.68183,0.39764,0.47003,0.20645,2.08093,1.41314,1.48493,0.00161942,0.00161942,0.00161942
9,23.9806,1.7607,1.41764,1.57081,0.68724,0.39385,0.46918,0.2093,2.05737,1.42232,1.47288,0.00180477,0.00180477,0.00180477
10,26.402,1.76143,1.51973,1.59021,0.68554,0.39255,0.47073,0.22424,1.9843,1.42254,1.44181,0.0018218,0.0018218,0.0018218
11,28.7978,1.7516,1.4543,1.57794,0.6743,0.39218,0.46852,0.22683,1.97842,1.44329,1.43567,0.001802,0.001802,0.001802
12,31.2616,1.70977,1.37847,1.52195,0.69391,0.39985,0.47364,0.23054,1.95376,1.42743,1.43004,0.0017822,0.0017822,0.0017822
13,33.7626,1.65093,1.31441,1.49419,0.69895,0.40083,0.47415,0.2259,1.97954,1.42849,1.44251,0.0017624,0.0017624,0.0017624
14,36.2989,1.70698,1.43848,1.5437,0.6909,0.39567,0.46857,0.21992,2.01222,1.44624,1.45027,0.0017426,0.0017426,0.0017426
15,38.6836,1.68753,1.35904,1.5248,0.68914,0.3951,0.4705,0.22874,1.96816,1.44611,1.41729,0.0017228,0.0017228,0.0017228
16,41.0784,1.74928,1.43003,1.53451,0.68199,0.3986,0.47214,0.23644,1.92682,1.4321,1.3904,0.001703,0.001703,0.001703
17,43.602,1.61265,1.28826,1.44912,0.67682,0.40433,0.47557,0.23738,1.92486,1.43239,1.39225,0.0016832,0.0016832,0.0016832
18,46.0856,1.66209,1.32531,1.48416,0.68227,0.41356,0.47864,0.23337,1.93137,1.38203,1.4148,0.0016634,0.0016634,0.0016634
19,48.4678,1.61811,1.28709,1.49336,0.68807,0.41434,0.48028,0.22661,1.94966,1.37215,1.42875,0.0016436,0.0016436,0.0016436
20,50.8093,1.68662,1.40425,1.51385,0.68177,0.40992,0.47383,0.22676,1.97054,1.39609,1.43168,0.0016238,0.0016238,0.0016238
21,53.3834,1.71348,1.32171,1.51018,0.67879,0.40569,0.47476,0.22565,1.96993,1.41169,1.4281,0.001604,0.001604,0.001604
22,55.893,1.71991,1.36034,1.53124,0.66409,0.41579,0.47482,0.22456,1.97046,1.4017,1.43465,0.0015842,0.0015842,0.0015842
23,58.2846,1.66849,1.30555,1.53141,0.65514,0.41643,0.47407,0.22777,1.93831,1.37228,1.43015,0.0015644,0.0015644,0.0015644
24,60.6933,1.68453,1.36917,1.53721,0.66293,0.4142,0.47534,0.23053,1.91741,1.35198,1.42247,0.0015446,0.0015446,0.0015446
25,63.0921,1.72502,1.39625,1.5739,0.67405,0.41324,0.47688,0.23056,1.92955,1.36421,1.42342,0.0015248,0.0015248,0.0015248
26,65.7295,1.70059,1.37703,1.5222,0.68798,0.41006,0.4793,0.22762,1.96375,1.37758,1.43717,0.001505,0.001505,0.001505
27,68.074,1.67635,1.33784,1.50982,0.68433,0.41675,0.48555,0.22743,1.95077,1.35408,1.43538,0.0014852,0.0014852,0.0014852
28,70.4686,1.70349,1.38342,1.55348,0.66625,0.41388,0.47977,0.23122,1.92407,1.36683,1.41586,0.0014654,0.0014654,0.0014654
29,72.8368,1.74748,1.39796,1.52969,0.66423,0.41038,0.47894,0.23526,1.90227,1.38446,1.40095,0.0014456,0.0014456,0.0014456
30,75.44,1.695,1.35141,1.51561,0.67203,0.41006,0.47703,0.24026,1.88329,1.38924,1.39407,0.0014258,0.0014258,0.0014258
31,77.7823,1.68844,1.32641,1.52699,0.68154,0.40624,0.47126,0.2305,1.94312,1.40971,1.42001,0.001406,0.001406,0.001406
32,80.1792,1.70062,1.39803,1.54089,0.67733,0.41006,0.47189,0.22284,1.98413,1.4161,1.43651,0.0013862,0.0013862,0.0013862
33,82.5257,1.69244,1.35358,1.50353,0.67224,0.41356,0.47424,0.22436,1.95376,1.399,1.4267,0.0013664,0.0013664,0.0013664
