epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.75422,1.96412,1.87107,1.69289,0.72423,0.43075,0.53224,0.27201,1.77991,1.24423,1.3111,0.0002,0.0002,0.0002
2,9.39601,1.71566,1.36968,1.49022,0.64856,0.37982,0.45516,0.21506,1.90685,1.35725,1.40289,0.000415842,0.000415842,0.000415842
3,12.9061,1.76442,1.28897,1.5455,0.64448,0.35205,0.42446,0.20299,1.90406,1.45679,1.40893,0.000627328,0.000627328,0.000627328
4,16.4099,1.6656,1.27956,1.47299,0.62804,0.37791,0.44134,0.17632,2.15291,1.44412,1.5482,0.000834458,0.000834458,0.000834458
5,19.917,1.61569,1.18819,1.43655,0.65194,0.43585,0.50023,0.21807,2.05922,1.30021,1.48511,0.00103723,0.00103723,0.00103723
6,23.4228,1.63404,1.1647,1.46656,0.63478,0.41668,0.48324,0.21039,2.0816,1.32884,1.45659,0.00123565,0.00123565,0.00123565
7,27.0983,1.60653,1.18216,1.42948,0.66348,0.37787,0.45486,0.21211,1.99964,1.4335,1.41832,0.00142971,0.00142971,0.00142971
8,30.3602,1.66005,1.22809,1.46623,0.67161,0.41541,0.48049,0.20223,2.13603,1.33656,1.49557,0.00161942,0.00161942,0.00161942
9,33.8189,1.63354,1.17641,1.44293,0.68632,0.42662,0.49198,0.20974,2.11453,1.30166,1.47383,0.00180477,0.00180477,0.00180477
10,37.2976,1.63713,1.23873,1.45839,0.68304,0.43044,0.50185,0.23657,1.96407,1.32517,1.39908,0.0018218,0.0018218,0.0018218
11,40.7288,1.65072,1.19129,1.48125,0.69989,0.39276,0.46217,0.2075,2.07533,1.43061,1.46963,0.001802,0.001802,0.001802
12,44.0625,1.62963,1.20718,1.45708,0.7113,0.3986,0.47972,0.22117,2.03919,1.35998,1.47921,0.0017822,0.0017822,0.0017822
