epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43959,3.80538,3.93068,4.42526,0,0,0,0,5.04501,3.99158,4.16007,0.0002,0.0002,0.0002
2,9.03,3.86756,3.78595,4.23025,0,0,0,0,5.05399,3.99906,4.16956,0.000415842,0.000415842,0.000415842
3,12.5884,3.67455,3.5694,4.10889,0,0,0,0,5.07571,4.01543,4.19679,0.000627328,0.000627328,0.000627328
4,16.0792,3.34156,3.15615,3.86148,0,0,0,0,5.0997,4.04189,4.23128,0.000834458,0.000834458,0.000834458
5,19.4652,3.03606,2.68188,3.46614,0,0,0,0,5.24759,4.1045,4.38059,0.00103723,0.00103723,0.00103723
