epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25699,3.99655,3.88698,4.41212,0,0,0,0,5.04359,3.99348,4.15945,0.0002,0.0002,0.0002
2,6.84123,3.83161,3.76899,4.2883,0,0,0,0,5.04665,3.99565,4.16346,0.000415842,0.000415842,0.000415842
3,9.47632,3.7584,3.56331,4.13991,0,0,0,0,5.0654,4.0113,4.18107,0.000627328,0.000627328,0.000627328
4,12.0041,3.43276,3.1064,3.88897,0,0,0,0,5.09909,4.04244,4.2214,0.000834458,0.000834458,0.000834458
5,14.528,3.12067,2.68007,3.48896,0,0,0,0,5.23855,4.103,4.35893,0.00103723,0.00103723,0.00103723
6,17.0186,2.73519,2.40917,3.19201,0,0,0,0,5.19481,4.15613,4.36729,0.00123565,0.00123565,0.00123565
7,19.5688,2.59486,2.22868,2.9125,0,0,0,0,4.1245,3.96806,3.74385,0.00142971,0.00142971,0.00142971
8,22.4769,2.52138,2.24467,2.76764,0.01282,0.22286,0.01323,0.00341,3.54767,3.14537,3.01683,0.00161942,0.00161942,0.00161942
