epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9146,1.78507,1.53295,1.57168,0.6754,0.42248,0.49088,0.21779,2.04881,1.35012,1.47111,0.000660194,0.000660194,0.000660194
2,19.604,1.70468,1.3529,1.52504,0.68032,0.40497,0.48122,0.23793,1.93564,1.42269,1.39922,0.00131372,0.00131372,0.00131372
3,27.9687,1.69192,1.35762,1.53071,0.68805,0.40939,0.47813,0.22317,1.96916,1.36597,1.43476,0.00195406,0.00195406,0.00195406
4,36.1417,1.68767,1.35072,1.52736,0.67939,0.40497,0.47438,0.23101,1.93585,1.38197,1.43018,0.0019406,0.0019406,0.0019406
5,44.3775,1.67262,1.31485,1.50936,0.66597,0.4107,0.47616,0.23559,1.89755,1.35467,1.41641,0.0019208,0.0019208,0.0019208
