epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33322,1.96412,1.87107,1.69289,0.72423,0.43075,0.53224,0.27201,1.77991,1.24423,1.3111,0.0002,0.0002,0.0002
2,8.89811,1.71566,1.36968,1.49022,0.64856,0.37982,0.45516,0.21506,1.90685,1.35725,1.40289,0.000415842,0.000415842,0.000415842
3,12.3265,1.76442,1.28897,1.5455,0.64448,0.35205,0.42446,0.20299,1.90406,1.45679,1.40893,0.000627328,0.000627328,0.000627328
